排名,学校名称,标签,省市,类型
语1,北京外国语大学,双一流/211,北京,语言
80,合肥工业大学,双一流/211,安徽,理工
81,江苏大学,-,江苏,综合
财6,东北财经大学,-,辽宁,财经
医9,重庆医科大学,-,重庆,医药
语2,上海外国语大学,双一流/211,上海,语言
82,南京邮电大学,双一流,江苏,理工
语3,中国传媒大学,双一流/211,北京,语言
83,北京林业大学,双一流/211,北京,林业
84,华北电力大学,双一流/211,北京,理工
85,贵州大学,双一流/211,贵州,综合
86,广西大学,双一流/211,广西,综合
87,海南大学,双一流/211,海南,综合
88,南京工业大学,-,江苏,理工
医10,中国药科大学,双一流/211,江苏,医药
89,长安大学,双一流/211,陕西,理工
90,福建师范大学,-,福建,师范
91,浙江师范大学,-,浙江,师范
医11,温州医科大学,-,浙江,医药
92,湖南师范大学,双一流/211,湖南,师范
93,南京林业大学,双一流,江苏,林业
93,扬州大学,-,江苏,综合
中医3,南京中医药大学,双一流,江苏,中医药
95,河南大学,双一流,河南,综合
合作4,昆山杜克大学,-,江苏,综合
96,广东工业大学,-,广东,理工
97,太原理工大学,双一流/211,山西,理工
98,南京信息工程大学,双一流,江苏,理工
中医4,广州中医药大学,双一流,广东,中医药
99,杭州电子科技大学,-,浙江,理工
100,首都师范大学,双一流,北京,师范
101,安徽大学,双一流/211,安徽,综合
财7,江西财经大学,-,江西,财经
财8,浙江工商大学,-,浙江,财经
102,山西大学,双一流,山西,综合
合作5,西交利物浦大学,-,江苏,综合
103,华南农业大学,双一流,广东,农业
104,山东师范大学,-,山东,师范
105,广州大学,-,广东,综合
语4,外交学院,双一流,北京,语言
106,上海理工大学,-,上海,理工
107,河北工业大学,双一流/211,河北,理工
108,青岛大学,-,山东,综合
合作6,深圳北理莫斯科大学,-,广东,综合
109,燕山大学,-,河北,理工
医12,河北医科大学,-,河北,医药
110,昆明理工大学,-,云南,理工
111,西安理工大学,-,陕西,理工
112,浙江理工大学,-,浙江,理工
医13,大连医科大学,-,辽宁,医药
113,大连海事大学,双一流/211,辽宁,综合
财9,首都经济贸易大学,-,北京,财经
114,内蒙古大学,双一流/211,内蒙古,综合
115,东北林业大学,双一流/211,黑龙江,林业
116,杭州师范大学,-,浙江,师范
117,湘潭大学,双一流,湖南,综合
118,西安建筑科技大学,-,陕西,理工
119,西南石油大学,双一流,四川,理工
语5,北京语言大学,-,北京,语言
政2,华东政法大学,-,上海,政法
120,东北农业大学,双一流/211,黑龙江,农业
中医5,天津中医药大学,双一流,天津,中医药
121,湖北大学,-,湖北,综合
中医6,成都中医药大学,双一流,四川,中医药
122,福建农林大学,-,福建,农业
123,上海师范大学,-,上海,师范
123,武汉科技大学,-,湖北,理工
医14,安徽医科大学,-,安徽,医药
政3,西南政法大学,-,重庆,政法
125,辽宁大学,双一流/211,辽宁,综合
126,江西师范大学,-,江西,师范
医15,福建医科大学,-,福建,医药
127,成都理工大学,双一流,四川,理工
中医7,浙江中医药大学,-,浙江,中医药
128,山东农业大学,-,山东,农业
129,温州大学,-,浙江,综合
财10,南京财经大学,-,江苏,财经
财11,北京工商大学,-,北京,财经
语6,广东外语外贸大学,-,广东,语言
130,河北大学,-,河北,综合
财12,浙江财经大学,-,浙江,财经
131,新疆大学,双一流/211,新疆,综合
体1,上海体育大学,双一流,上海,体育
132,陕西科技大学,-,陕西,理工
医16,山西医科大学,-,山西,医药
133,天津工业大学,双一流,天津,理工
134,四川农业大学,双一流/211,四川,农业
135,长沙理工大学,-,湖南,理工
135,石河子大学,双一流/211,新疆,综合
医17,山东第一医科大学,-,山东,医药
137,宁夏大学,双一流/211,宁夏,综合
138,长春理工大学,-,吉林,理工
合作7,广东以色列理工学院,-,广东,理工
139,华侨大学,-,福建,综合
政4,中国人民公安大学,双一流,北京,政法
140,山东科技大学,-,山东,理工
141,江苏科技大学,-,江苏,理工
142,上海海洋大学,双一流,上海,农业
143,安徽农业大学,-,安徽,农业
财13,山东财经大学,-,山东,财经
财14,上海对外经贸大学,-,上海,财经
144,中北大学,-,山西,理工
145,安徽师范大学,-,安徽,师范
145,河南农业大学,-,河南,农业
147,重庆邮电大学,-,重庆,理工
147,南通大学,-,江苏,综合
149,广西师范大学,-,广西,师范
149,浙江农林大学,-,浙江,林业
151,齐鲁工业大学,-,山东,理工
151,中国计量大学,-,浙江,理工
合作8,温州肯恩大学,-,浙江,综合
医18,广西医科大学,-,广西,医药
153,沈阳农业大学,-,辽宁,农业
154,西北师范大学,-,甘肃,师范
合作9,北师香港浸会大学,-,广东,综合
155,黑龙江大学,-,黑龙江,综合
156,集美大学,-,福建,综合
157,延边大学,双一流/211,吉林,综合
158,天津科技大学,-,天津,理工
医19,徐州医科大学,-,江苏,医药
159,武汉纺织大学,-,湖北,理工
财15,南京审计大学,-,江苏,财经
民2,中南民族大学,-,湖北,民族
160,天津师范大学,-,天津,师范
161,吉林农业大学,-,吉林,农业
162,湖北工业大学,-,湖北,理工
162,辽宁师范大学,-,辽宁,师范
164,曲阜师范大学,-,山东,师范
165,常州大学,-,江苏,理工
166,湖南农业大学,-,湖南,农业
167,青岛科技大学,-,山东,理工
168,河南师范大学,-,河南,师范
医20,沈阳药科大学,-,辽宁,医药
169,武汉工程大学,-,湖北,理工
中医8,山东中医药大学,-,山东,中医药
中医9,湖南中医药大学,-,湖南,中医药
170,天津理工大学,-,天津,理工
171,上海海事大学,-,上海,综合
172,江苏师范大学,-,江苏,师范
173,汕头大学,-,广东,综合
174,三峡大学,-,湖北,综合
175,济南大学,-,山东,综合
财16,天津财经大学,-,天津,财经
176,河南科技大学,-,河南,综合
中医10,福建中医药大学,-,福建,中医药
177,河北师范大学,-,河北,师范
体2,北京体育大学,双一流/211,北京,体育
178,北京建筑大学,-,北京,理工
179,沈阳航空航天大学,-,辽宁,理工
中医11,河南中医药大学,-,河南,中医药
180,安徽理工大学,-,安徽,理工
181,南昌航空大学,-,江西,理工
182,北京信息科技大学,-,北京,理工
183,桂林电子科技大学,-,广西,理工
184,长江大学,-,湖北,综合
医21,宁夏医科大学,-,宁夏,医药
185,国际关系学院,-,北京,综合
政5,西北政法大学,-,陕西,政法
186,西安科技大学,-,陕西,理工
187,青岛理工大学,-,山东,理工
188,上海电力大学,-,上海,理工
189,河北农业大学,-,河北,农业
189,湖南科技大学,-,湖南,综合
中医12,辽宁中医药大学,-,辽宁,中医药
191,重庆交通大学,-,重庆,理工
192,兰州交通大学,-,甘肃,理工
193,安徽工业大学,-,安徽,理工
194,河南理工大学,-,河南,理工
194,华东交通大学,-,江西,理工
医22,昆明医科大学,-,云南,医药
196,西安邮电大学,-,陕西,理工
医23,新疆医科大学,-,新疆,医药
197,山东理工大学,-,山东,理工
198,南华大学,-,湖南,综合
198,沈阳工业大学,-,辽宁,理工
198,云南师范大学,-,云南,师范
中医13,江西中医药大学,-,江西,中医药
201,西藏大学,双一流/211,西藏,综合
202,江西理工大学,-,江西,理工
财17,安徽财经大学,-,安徽,财经
203,青海大学,双一流/211,青海,综合
204,兰州理工大学,-,甘肃,理工
205,西南科技大学,-,四川,理工
中医14,湖北中医药大学,-,湖北,中医药
206,西安工业大学,-,陕西,理工
207,江西农业大学,-,江西,农业
民3,西南民族大学,-,四川,民族
医24,西南医科大学,-,四川,医药
中医15,长春中医药大学,-,吉林,中医药
208,东北电力大学,-,吉林,理工
209,四川师范大学,-,四川,师范
210,河南工业大学,-,河南,理工
医25,滨州医学院,-,山东,医药
211,大连工业大学,-,辽宁,理工
中医16,黑龙江中医药大学,-,黑龙江,中医药
212,内蒙古农业大学,-,内蒙古,农业
213,东北石油大学,-,黑龙江,理工
语7,北京第二外国语学院,-,北京,语言
214,哈尔滨理工大学,-,黑龙江,理工
215,重庆师范大学,-,重庆,师范
财18,山西财经大学,-,山西,财经
216,嘉兴大学,-,浙江,综合
医26,遵义医科大学,-,贵州,医药
政6,上海政法学院,-,上海,政法
217,苏州科技大学,-,江苏,理工
医27,河南医药大学,-,河南,医药
218,浙大城市学院,-,浙江,理工
中医17,安徽中医药大学,-,安徽,中医药
219,中南林业科技大学,-,湖南,林业
220,贵州师范大学,-,贵州,师范
220,内蒙古师范大学,-,内蒙古,师范
医28,贵州医科大学,-,贵州,医药
医29,山东第二医科大学,-,山东,医药
222,沈阳建筑大学,-,辽宁,理工
财19,吉林财经大学,-,吉林,财经
政7,中国刑事警察学院,-,辽宁,政法
223,哈尔滨师范大学,-,黑龙江,师范
224,烟台大学,-,山东,综合
225,山西农业大学,-,山西,农业
226,中国民航大学,-,天津,理工
227,海南师范大学,-,海南,师范
228,青岛农业大学,-,山东,农业
229,东华理工大学,-,江西,理工
医30,内蒙古医科大学,-,内蒙古,医药
230,西安石油大学,-,陕西,理工
231,石家庄铁道大学,-,河北,理工
232,浙江科技大学,-,浙江,理工
财20,重庆工商大学,-,重庆,财经
财21,广东财经大学,-,广东,财经
233,北京电子科技学院,-,北京,理工
医31,海南医科大学,-,海南,医药
234,湖州师范学院,-,浙江,师范
235,甘肃农业大学,-,甘肃,农业
语8,浙江传媒学院,-,浙江,语言
236,浙江海洋大学,-,浙江,农业
237,佛山大学,-,广东,理工
237,上海工程技术大学,-,上海,理工
239,北方工业大学,-,北京,理工
中医18,陕西中医药大学,-,陕西,中医药
240,鲁东大学,-,山东,综合
241,成都大学,-,四川,综合
语9,西安外国语大学,-,陕西,语言
语10,四川外国语大学,-,重庆,语言
242,上海应用技术大学,-,上海,理工
财22,北京物资学院,-,北京,财经
中医19,广西中医药大学,-,广西,中医药
243,重庆理工大学,-,重庆,理工
244,沈阳化工大学,-,辽宁,理工
245,长春工业大学,-,吉林,理工
246,厦门理工学院,-,福建,理工
医32,锦州医科大学,-,辽宁,医药
247,东莞理工学院,-,广东,理工
248,延安大学,-,陕西,综合
249,大连交通大学,-,辽宁,理工
249,华北水利水电大学,-,河南,理工
251,山东建筑大学,-,山东,理工
252,赣南师范大学,-,江西,师范
253,西安工程大学,-,陕西,理工
财23,河北经贸大学,-,河北,财经
254,河北科技大学,-,河北,理工
254,沈阳理工大学,-,辽宁,理工
中医20,河北中医药大学,-,河北,中医药
256,青海师范大学,-,青海,师范
财24,河南财经政法大学,-,河南,财经
257,武汉轻工大学,-,湖北,理工
258,桂林理工大学,-,广西,理工
258,郑州轻工业大学,-,河南,理工
语11,天津外国语大学,-,天津,语言
260,成都信息工程大学,-,四川,理工
261,内蒙古工业大学,-,内蒙古,理工
262,西华大学,-,四川,综合
体3,首都体育学院,-,北京,体育
263,辽宁石油化工大学,-,辽宁,理工
财25,湖北经济学院,-,湖北,财经
264,绍兴文理学院,-,浙江,师范
265,江汉大学,-,湖北,综合
266,沈阳大学,-,辽宁,综合
医33,广东医科大学,-,广东,医药
语12,大连外国语大学,-,辽宁,语言
政8,中国人民警察大学,-,河北,政法
267,山西师范大学,-,山西,师范
财26,湖南工商大学,-,湖南,财经
医34,湖北医药学院,-,湖北,医药
268,聊城大学,-,山东,综合
269,华北理工大学,-,河北,综合
财27,上海立信会计金融学院,-,上海,财经
270,太原科技大学,-,山西,理工
财28,天津商业大学,-,天津,财经
语13,浙江外国语学院,-,浙江,语言
政9,四川警察学院,-,四川,政法
271,辽宁工程技术大学,-,辽宁,理工
271,西华师范大学,-,四川,师范
中医21,贵州中医药大学,-,贵州,中医药
民4,广西民族大学,-,广西,民族
273,南京工程学院,-,江苏,理工
财29,贵州财经大学,-,贵州,财经
274,安徽工程大学,-,安徽,理工
275,福建理工大学,-,福建,理工
财30,郑州航空工业管理学院,-,河南,财经
民5,大连民族大学,-,辽宁,民族
276,上海海关学院,-,上海,综合
277,沈阳师范大学,-,辽宁,师范
278,台州学院,-,浙江,综合
279,重庆科技大学,-,重庆,理工
279,辽宁工业大学,-,辽宁,理工
民6,西藏民族大学,-,西藏,民族
民7,贵州民族大学,-,贵州,民族
政10,江苏警官学院,-,江苏,政法
281,北京农学院,-,北京,农业
281,北京印刷学院,-,北京,理工
财31,云南财经大学,-,云南,财经
体4,武汉体育学院,-,湖北,体育
283,安徽建筑大学,-,安徽,理工
283,深圳技术大学,-,广东,综合
医35,蚌埠医科大学,-,安徽,医药
医36,沈阳医学院,-,辽宁,医药
285,渤海大学,-,辽宁,综合
285,大理大学,-,云南,综合
医37,川北医学院,-,四川,医药
中医22,云南中医药大学,-,云南,中医药
287,大连大学,-,辽宁,综合
287,苏州工学院,-,江苏,理工
287,浙大宁波理工学院,-,浙江,理工
政11,中国劳动关系学院,-,北京,政法
中医23,山西中医药大学,-,山西,中医药
290,云南农业大学,-,云南,农业
财32,河北地质大学,-,河北,财经
民8,西北民族大学,-,甘肃,民族
政12,南京警察学院,-,江苏,政法
291,河北工程大学,-,河北,理工
医38,桂林医科大学,-,广西,医药
292,宁波工程学院,-,浙江,理工
医39,广东药科大学,-,广东,医药
293,湖南工业大学,-,湖南,理工
财33,西安财经大学,-,陕西,财经
政13,浙江警察学院,-,浙江,政法
294,吉林建筑大学,-,吉林,理工
中医24,西藏藏医药大学,-,西藏,中医药
295,南宁师范大学,-,广西,师范
民9,北方民族大学,-,宁夏,民族
296,大连海洋大学,-,辽宁,农业
297,闽江学院,-,福建,理工
298,广东海洋大学,-,广东,农业
299,临沂大学,-,山东,综合
财34,哈尔滨商业大学,-,黑龙江,财经
民10,云南民族大学,-,云南,民族
语14,中华女子学院,-,北京,语言
300,北京石油化工学院,-,北京,理工
财35,内蒙古财经大学,-,内蒙古,财经
医40,赣南医科大学,-,江西,医药
301,黑龙江八一农垦大学,-,黑龙江,农业
中医25,甘肃中医药大学,-,甘肃,中医药
302,新疆师范大学,-,新疆,师范
体5,沈阳体育学院,-,辽宁,体育
303,西南林业大学,-,云南,林业
医41,皖南医学院,-,安徽,医药
304,辽宁科技大学,-,辽宁,理工
305,新疆农业大学,-,新疆,农业
财36,山东工商学院,-,山东,财经
306,北京联合大学,-,北京,综合
307,重庆文理学院,-,重庆,综合
308,北华大学,-,吉林,综合
309,闽南师范大学,-,福建,师范
310,湖南理工学院,-,湖南,理工
311,五邑大学,-,广东,综合
312,湖北师范大学,-,湖北,师范
312,浙江万里学院,-,浙江,理工
民11,青海民族大学,-,青海,民族
政14,甘肃政法大学,-,甘肃,政法
314,广东技术师范大学,-,广东,师范
314,内蒙古科技大学,-,内蒙古,综合
316,合肥大学,-,安徽,理工
医42,承德医学院,-,河北,医药
317,淮阴工学院,-,江苏,理工
318,天津城建大学,-,天津,理工
319,无锡学院,-,江苏,综合
320,中原工学院,-,河南,理工
321,景德镇陶瓷大学,-,江西,理工
医43,济宁医学院,-,山东,医药
322,吉林师范大学,-,吉林,师范
323,吉首大学,-,湖南,综合
324,江西科技师范大学,-,江西,师范
体6,南京体育学院,-,江苏,体育
325,江苏海洋大学,-,江苏,理工
体7,天津体育学院,-,天津,体育
326,四川轻化工大学,-,四川,理工
327,上海第二工业大学,-,上海,理工
328,长沙学院,-,湖南,理工
329,广西科技大学,-,广西,理工
330,淮北师范大学,-,安徽,师范
体8,成都体育学院,-,四川,体育
331,淮阴师范学院,-,江苏,师范
332,上海电机学院,-,上海,理工
333,南京晓庄学院,-,江苏,师范
334,盐城工学院,-,江苏,理工
335,贵州师范学院,-,贵州,师范
336,常州工学院,-,江苏,理工
财37,新疆财经大学,-,新疆,财经
337,长春师范大学,-,吉林,师范
337,信阳师范大学,-,河南,师范
体9,山东体育学院,-,山东,体育
医44,上海健康医学院,-,上海,医药
政15,中央司法警官学院,-,河北,政法
339,榆林学院,-,陕西,师范
340,安庆师范大学,-,安徽,师范
民12,内蒙古民族大学,-,内蒙古,民族
政16,重庆警察学院,-,重庆,政法
341,湖北汽车工业学院,-,湖北,理工
342,陕西理工大学,-,陕西,理工
343,塔里木大学,-,新疆,综合
343,天津职业技术师范大学,-,天津,师范
政17,辽宁警察学院,-,辽宁,政法
345,长江师范学院,-,重庆,师范
财38,兰州财经大学,-,甘肃,财经
民13,湖北民族大学,-,湖北,民族
346,湖南第一师范学院,-,湖南,师范
347,江苏理工学院,-,江苏,理工
财39,上海商学院,-,上海,财经
政18,北京警察学院,-,北京,政法
348,江西水利电力大学,-,江西,理工
349,长春工程学院,-,吉林,理工
350,盐城师范学院,-,江苏,师范
351,井冈山大学,-,江西,综合
351,金陵科技学院,-,江苏,理工
财40,广东金融学院,-,广东,财经
政19,广东警官学院,-,广东,政法
353,天津农学院,-,天津,农业
353,仲恺农业工程学院,-,广东,农业
355,铜仁学院,-,贵州,综合
医45,杭州医学院,-,浙江,医药
356,山东交通学院,-,山东,理工
357,黄冈师范学院,-,湖北,师范
357,泉州师范学院,-,福建,师范
359,河南科技学院,-,河南,师范
360,温州理工学院,-,浙江,理工
医46,西安医学院,-,陕西,医药
361,安徽科技学院,-,安徽,师范
361,洛阳师范学院,-,河南,师范
363,徐州工程学院,-,江苏,理工
364,湖北第二师范学院,-,湖北,师范
365,丽水学院,-,浙江,师范
365,中国民用航空飞行学院,-,四川,理工
医47,河北北方学院,-,河北,医药
367,惠州学院,-,广东,综合
体10,广州体育学院,-,广东,体育
368,长春大学,-,吉林,综合
369,贵阳学院,-,贵州,综合
医48,厦门医学院,-,福建,医药
370,湖州学院,-,浙江,师范
体11,哈尔滨体育学院,-,黑龙江,体育
371,沈阳工程学院,-,辽宁,理工
政20,河南警察学院,-,河南,政法
372,湖北科技学院,-,湖北,综合
372,湖北文理学院,-,湖北,综合
372,黔南民族师范学院,-,贵州,师范
财41,广西财经学院,-,广西,财经
医49,内蒙古科技大学包头医学院,-,内蒙古,医药
政21,郑州警察学院,-,河南,政法
375,防灾科技学院,-,河北,理工
376,广东石油化工学院,-,广东,综合
377,洛阳理工学院,-,河南,综合
378,遵义师范学院,-,贵州,师范
379,衢州学院,-,浙江,理工
380,重庆三峡学院,-,重庆,综合
381,齐齐哈尔大学,-,黑龙江,综合
381,三明学院,-,福建,综合
医50,牡丹江医科大学,-,黑龙江,医药
医50,齐齐哈尔医学院,-,黑龙江,医药
医50,右江民族医学院,-,广西,医药
383,太原师范学院,-,山西,师范
政22,山东政法学院,-,山东,政法
384,阜阳师范大学,-,安徽,师范
385,北华航天工业学院,-,河北,理工
386,绵阳师范学院,-,四川,师范
387,佳木斯大学,-,黑龙江,综合
医53,成都医学院,-,四川,医药
388,成都师范学院,-,四川,师范
政23,云南警官学院,-,云南,政法
389,昆明学院,-,云南,综合
389,周口师范学院,-,河南,师范
政24,福建警察学院,-,福建,政法
391,岭南师范学院,-,广东,师范
391,莆田学院,-,福建,综合
财42,福建江夏学院,-,福建,财经
393,德州学院,-,山东,综合
394,黑龙江科技大学,-,黑龙江,理工
394,攀枝花学院,-,四川,综合
394,山东航空学院,-,山东,理工
394,浙江水利水电学院,-,浙江,理工
398,龙岩学院,-,福建,综合
398,西藏农牧大学,-,西藏,农业
400,曲靖师范学院,-,云南,师范
401,华北科技学院,-,河北,理工
402,泰山学院,-,山东,综合
403,潍坊学院,-,山东,综合
财43,湖南财政经济学院,-,湖南,财经
404,河北科技师范学院,-,河北,师范
405,湘南学院,-,湖南,理工
406,衡阳师范学院,-,湖南,师范
406,湖南工程学院,-,湖南,理工
408,内江师范学院,-,四川,师范
409,许昌学院,-,河南,理工
409,宜宾学院,-,四川,综合
财44,河北金融学院,-,河北,财经
411,贵州理工学院,-,贵州,理工
412,吉林化工大学,-,吉林,理工
413,宁夏师范大学,-,宁夏,师范
414,合肥师范学院,-,安徽,师范
414,湖北理工学院,-,湖北,理工
414,江苏第二师范学院,-,江苏,师范
417,皖西学院,-,安徽,师范
政25,上海公安学院,-,上海,政法
418,安阳师范学院,-,河南,师范
体12,西安体育学院,-,陕西,体育
419,湖北工程学院,-,湖北,综合
419,南阳师范学院,-,河南,师范
419,苏州城市学院,-,江苏,综合
医54,南昌医学院,-,江西,医药
422,北部湾大学,-,广西,综合
422,西安文理学院,-,陕西,师范
医55,长治医学院,-,山西,医药
424,广东第二师范学院,-,广东,师范
425,韶关学院,-,广东,综合
财45,嘉兴南湖学院,-,浙江,财经
426,乐山师范学院,-,四川,师范
426,武夷学院,-,福建,综合
428,六盘水师范学院,-,贵州,师范
429,商丘师范学院,-,河南,师范
429,石家庄学院,-,河北,师范
政26,吉林警察学院,-,吉林,政法
431,宜春学院,-,江西,综合
432,枣庄学院,-,山东,综合
433,重庆第二师范学院,-,重庆,师范
政27,湖北警官学院,-,湖北,政法
434,黄淮学院,-,河南,师范
435,滁州学院,-,安徽,综合
436,怀化学院,-,湖南,综合
436,玉林师范学院,-,广西,师范
438,邵阳学院,-,湖南,理工
438,唐山师范学院,-,河北,师范
440,南昌师范学院,-,江西,师范
440,肇庆学院,-,广东,综合
政28,湖南警察学院,-,湖南,政法
442,广州航海学院,-,广东,理工
442,平顶山学院,-,河南,师范
444,河南工程学院,-,河南,理工
444,西安航空学院,-,陕西,理工
446,成都工业学院,-,四川,理工
446,天水师范大学,-,甘肃,师范
448,河西学院,-,甘肃,综合
448,南京特殊教育师范学院,-,江苏,师范
450,宝鸡文理学院,-,陕西,师范
450,南阳理工学院,-,河南,理工
450,宁德师范学院,-,福建,师范
450,西昌学院,-,四川,综合
医56,吉林医药学院,-,吉林,医药
政29,贵州警察学院,-,贵州,政法
454,河南城建学院,-,河南,理工
455,黑龙江工程学院,-,黑龙江,理工
455,湖南文理学院,-,湖南,综合
457,上饶师范学院,-,江西,师范
458,内蒙古科技大学包头师范学院,-,内蒙古,综合
体13,吉林体育学院,-,吉林,体育
459,通化师范学院,-,吉林,师范
460,济宁学院,-,山东,师范
460,渭南师范学院,-,陕西,师范
462,湖南科技学院,-,湖南,综合
财46,武汉商学院,-,湖北,财经
463,海南热带海洋学院,-,海南,综合
463,湖南城市学院,-,湖南,综合
465,齐鲁师范学院,-,山东,师范
466,廊坊师范学院,-,河北,师范
467,玉溪师范学院,-,云南,师范
468,牡丹江师范学院,-,黑龙江,师范
469,哈尔滨学院,-,黑龙江,综合
470,山西大同大学,-,山西,综合
471,湖南工学院,-,湖南,理工
472,韩山师范学院,-,广东,师范
473,九江学院,-,江西,综合
474,太原工业学院,-,山西,理工
475,宿迁学院,-,江苏,综合
476,陇东学院,-,甘肃,师范
477,福建技术师范学院,-,福建,师范
478,鞍山师范学院,-,辽宁,师范
479,巢湖学院,-,安徽,师范
480,山东青年政治学院,-,山东,综合
481,黄山学院,-,安徽,师范
482,吉林工程技术师范学院,-,吉林,师范
483,河北民族师范学院,-,河北,师范
483,四川旅游学院,-,四川,综合
政30,江西警察学院,-,江西,政法
485,山东女子学院,-,山东,综合
486,山东管理学院,-,山东,综合
486,咸阳师范学院,-,陕西,师范
488,吉林农业科技学院,-,吉林,农业
489,兰州城市学院,-,甘肃,综合
490,湖南人文科技学院,-,湖南,师范
490,宿州学院,-,安徽,师范
492,安阳工学院,-,河南,理工
493,凯里学院,-,贵州,综合
494,安顺学院,-,贵州,综合
494,长治学院,-,山西,师范
496,淮南师范学院,-,安徽,师范
497,贺州学院,-,广西,综合
498,新乡学院,-,河南,理工
499,嘉应学院,-,广东,综合
500,伊犁师范大学,-,新疆,师范
500+,阿坝师范学院,-,四川,师范
500+,安康学院,-,陕西,综合
500+,白城师范学院,-,吉林,师范
500+,百色学院,-,广西,综合
500+,保定学院,-,河北,师范
500+,保山学院,-,云南,师范
500+,蚌埠学院,-,安徽,理工
500+,亳州学院,-,安徽,师范
500+,沧州师范学院,-,河北,师范
500+,昌吉学院,-,新疆,师范
