排名,学校名称,标签,省市,类型
500+,昌吉学院,-,新疆,师范
500+,长沙师范学院,-,湖南,师范
500+,长治学院,-,山西,师范
500+,池州学院,-,安徽,师范
500+,楚雄师范学院,-,云南,师范
500+,滇西科技师范学院,-,云南,师范
500+,滇西应用技术大学,-,云南,综合
500+,鄂尔多斯应用技术学院,-,内蒙古,综合
500+,赣东学院,-,江西,理工
500+,赣南科技学院,-,江西,理工
500+,甘肃民族师范学院,-,甘肃,师范
500+,广西科技师范学院,-,广西,师范
500+,广西民族师范学院,-,广西,师范
500+,广西职业师范学院,-,广西,综合
500+,桂林航天工业学院,-,广西,理工
500+,贵州工程应用技术学院,-,贵州,师范
500+,邯郸学院,-,河北,师范
500+,汉江师范学院,-,湖北,师范
500+,河北环境工程学院,-,河北,综合
500+,河北民族师范学院,-,河北,师范
500+,河北水利电力学院,-,河北,理工
500+,河池学院,-,广西,综合
500+,合肥理工学院,-,安徽,综合
500+,黑河学院,-,黑龙江,综合
500+,黑龙江工业学院,-,黑龙江,理工
500+,河南工学院,-,河南,理工
500+,河南牧业经济学院,-,河南,农业
500+,衡水学院,-,河北,师范
500+,河套学院,-,内蒙古,综合
500+,菏泽学院,-,山东,综合
500+,红河学院,-,云南,综合
500+,呼伦贝尔学院,-,内蒙古,综合
500+,吉林农业科技学院,-,吉林,农业
500+,荆楚理工学院,-,湖北,理工
500+,景德镇学院,-,江西,综合
500+,集宁师范学院,-,内蒙古,师范
500+,济宁学院,-,山东,师范
500+,晋中学院,-,山西,师范
500+,喀什大学,-,新疆,师范
500+,兰州城市学院,-,甘肃,综合
500+,兰州工业学院,-,甘肃,理工
500+,兰州文理学院,-,甘肃,综合
500+,辽东学院,-,辽宁,综合
500+,辽宁科技学院,-,辽宁,理工
500+,吕梁学院,-,山西,师范
500+,萍乡学院,-,江西,综合
500+,普洱学院,-,云南,师范
500+,山东农业工程学院,-,山东,综合
500+,山东青年政治学院,-,山东,综合
500+,山东石油化工学院,-,山东,理工
500+,商洛学院,-,陕西,综合
500+,山西电子科技学院,-,山西,理工
500+,山西工程技术学院,-,山西,理工
500+,山西工学院,-,山西,理工
500+,山西科技学院,-,山西,理工
500+,山西能源学院,-,山西,综合
500+,陕西学前师范学院,-,陕西,师范
500+,四川民族学院,-,四川,师范
500+,四川文理学院,-,四川,综合
500+,绥化学院,-,黑龙江,综合
500+,太原学院,-,山西,理工
500+,泰州学院,-,江苏,师范
500+,唐山学院,-,河北,理工
500+,天津中德应用技术大学,-,天津,理工
500+,文山学院,-,云南,师范
500+,梧州学院,-,广西,综合
500+,邢台学院,-,河北,师范
500+,兴义民族师范学院,-,贵州,师范
500+,新疆工程学院,-,新疆,理工
500+,新疆理工学院,-,新疆,综合
500+,新疆政法学院,-,新疆,综合
500+,新余学院,-,江西,综合
500+,忻州师范学院,-,山西,师范
500+,运城学院,-,山西,师范
500+,豫章师范学院,-,江西,师范
500+,张家口学院,-,河北,综合
500+,昭通学院,-,云南,师范
500+,郑州工程技术学院,-,河南,理工
500+,郑州师范学院,-,河南,师范
财46+,福建商学院,-,福建,财经
医56+,甘肃医学院,-,甘肃,医药
政31+,广西警察学院,-,广西,政法
财46+,桂林旅游学院,-,广西,财经
财46+,贵州商学院,-,贵州,财经
财46+,哈尔滨金融学院,-,黑龙江,财经
体13+,河北体育学院,-,河北,体育
财46+,河南财政金融学院,-,河南,财经
体13+,河南体育学院,-,河南,体育
民13+,呼和浩特民族学院,-,内蒙古,民族
语14+,湖南女子学院,-,湖南,语言
医56+,湖南医药学院,-,湖南,医药
财46+,吉林工商学院,-,吉林,财经
政31+,山西警察学院,-,山西,政法
医56+,新疆第二医学院,-,新疆,医药
政31+,新疆警察学院,-,新疆,政法
财46+,新疆科技学院,-,新疆,财经
